name,age,nationality,club,position,height,weight,foot,total_matches,total_goals,total_minutes,total_assists,total_goals_conceded,total_cs,total_yellow,total_red,minutes_per_goal,shot_accuracy,pass_completion_rate,cross_completion_rate,minutes_per_assist,dribble_success_rate,tackles,interception,market_value,titles,injuries
Denzel Dumfries,28,Aruba,Inter Milan,Defender - Right Midfield,188,80,Right,431,44,33149,,371,153,76,3,59,87.5,81.17,26.67,,7.69,5,2,20.0,4,12
Cameron Burgess,29,Australia,Ipswich Town,Defender - Centre Back,194,75,Left,343,20,29062,,355,113,53,4,,25.0,77.27,,,0.0,1,2,1.5,0,2
Denis Genreau,25,Australia,Toulouse,Midfielder - Attacking Midfield,175,73,,140,7,7828,14,,,22,0,,0.0,88.0,16.67,,0.0,0,0,1.0,1,7
Jackson Irvine,31,Australia,St. Pauli,Midfielder - Central Midfield,189,70,Right,421,48,34757,40,,,85,2,,11.11,70.16,50.0,330,45.45,22,17,2.0,4,1
Massimo Luongo,32,Australia,Ipswich Town,Midfielder - Central Midfield,176,66,Right,413,34,32501,28,,,81,2,,,72.73,,,0.0,5,3,0.5,1,7
Alexander Prass,23,Austria,Hoffenheim,Midfielder - Left Midfield,180,72,Left,224,25,16591,38,,,31,1,,0.0,74.4,25.0,763,40.0,13,3,12.0,4,0
Benedikt Pichler,27,Austria,Holstein Kiel,Midfielder - Left Midfield,184,87,,212,61,14281,13,,,21,2,643,63.64,66.44,0.0,,46.67,3,1,2.0,0,1
Christoph Baumgartner,25,Austria,RB Leipzig,Midfielder - Attacking Midfield,180,68,,273,58,17273,24,,,46,1,,71.43,67.83,0.0,,58.33,11,3,18.0,1,15
Flavius Daniliuc,23,Austria,Hellas Verona,Defender - Centre Back,188,79,,178,4,12625,,184,44,26,0,,0.0,81.93,25.0,,66.67,13,4,5.0,0,6
Florian Grillitsch,29,Austria,Hoffenheim,Midfielder - Defensive Midfield,187,74,Right,344,34,25026,22,,,62,2,,25.0,87.5,40.0,,40.0,16,9,6.5,0,25
Karim Onisiwo,32,Austria,Mainz 05,Forward - Centre Forward,188,85,Right,320,67,20556,41,,,21,0,,0.0,61.11,50.0,,50.0,0,0,1.5,1,12
Kevin Danso,26,Austria,Lens,Defender - Centre Back,190,89,Right,257,17,20983,,277,82,63,6,,50.0,86.76,,,50.0,6,6,25.0,0,16
Konrad Laimer,27,Austria,Bayern München,Midfielder - Central Midfield,180,72,Right,374,25,25104,34,,,80,3,,25.0,89.42,0.0,,0.0,5,0,30.0,7,18
Marcel Sabitzer,30,Austria,Borussia Dortmund,Midfielder - Central Midfield,178,77,Right,496,102,35379,68,,,77,2,,60.0,85.26,0.0,,33.33,10,2,20.0,6,22
Marco Friedl,26,Austria,Werder Bremen,Defender - Centre Back,187,71,Left,270,20,22539,,347,58,74,4,,,91.18,0.0,,50.0,17,14,7.5,5,18
Marko Arnautovic,35,Austria,Inter Milan,Forward - Centre Forward,192,83,Right,484,137,33180,66,,,69,4,,0.0,62.5,0.0,,0.0,2,0,4.0,5,30
Mathias Honsak,27,Austria,Heidenheim,Forward - Left Wing,188,74,Left,276,44,14979,23,,,14,0,,33.33,74.16,46.15,238,100.0,4,1,1.2,0,6
Matthias Braunoder,22,Austria,Como,Midfielder - Central Midfield,173,67,Right,159,7,10849,13,,,29,2,,,86.61,,,33.33,11,2,2.0,0,2
Michael Svoboda,26,Austria,Venezia,Defender - Centre Back,195,86,Right,196,10,14460,,227,45,27,2,50,100.0,85.47,100.0,,66.67,22,15,1.5,1,0
Nicolas Seiwald,23,Austria,RB Leipzig,Midfielder - Central Midfield,179,,,212,13,15034,23,,,19,0,,,86.21,0.0,,0.0,11,9,16.0,7,1
Nikolas Veratschnig,21,Austria,Mainz 05,Forward,,,,105,11,6333,4,,,23,1,,,100.0,0.0,,0.0,0,0,1.0,0,2
Patrick Wimmer,23,Austria,Wolfsburg,Forward - Right Wing,182,77,,170,20,10122,25,,,37,3,,40.0,60.49,50.0,480,42.86,5,5,15.0,0,15
Paul Wanner,18,Austria,Heidenheim,Midfielder - Attacking Midfield,185,72,,78,16,4828,7,,,10,0,378,40.0,76.79,32.0,756,46.88,18,1,15.0,3,1
Philipp Lienhart,28,Austria,Freiburg,Defender - Centre Back,189,80,Right,318,19,26151,,359,91,54,1,61,25.0,88.59,0.0,,50.0,8,11,15.0,2,8
Romano Schmid,24,Austria,Werder Bremen,Midfielder - Attacking Midfield,168,63,Right,269,33,18780,36,,,49,0,884,71.43,79.91,37.5,884,33.33,13,7,13.0,1,6
Stefan Lainer,32,Austria,Borussia M'gladbach,Defender - Right Back,175,73,Right,364,17,28427,46,,,53,0,,,79.8,0.0,,60.0,4,3,2.5,8,12
Stefan Posch,27,Austria,Bologna,Defender - Centre Back,189,82,Right,323,20,25804,,340,90,77,2,,,78.55,50.0,,27.27,21,4,14.0,0,18
Valentino Lazaro,28,Austria,Torino,Defender - Right Back,180,75,Right,346,26,21532,39,,,47,1,,25.0,82.74,19.64,254,33.33,15,2,3.5,10,7
Adnan Januzaj,29,Belgium,UD Las Palmas,Forward - Right Wing,186,76,Left,319,33,16442,37,,,39,2,,33.33,80.91,30.77,256,26.67,3,0,2.0,7,26
Albert Sambi Lokonga,25,Belgium,Sevilla FC,Midfielder - Central Midfield,183,67,Right,168,7,12296,10,,,24,2,,50.0,92.31,,566,66.67,6,1,12.0,0,9
Alexis Saelemaekers,25,Belgium,Roma,Midfielder - Right Wing,180,72,,258,17,15215,23,,,47,4,,100.0,89.69,33.33,,40.0,5,1,12.0,2,9
Ameen Al Dakhil,22,Belgium,Stuttgart II,Forward - Center Back,185,,,69,1,5211,0,,,14,2,,,,,,,,,,,0
Anass Zaroury,24,Belgium,Lens,Forward - Left Wing,178,73,,144,26,8233,17,,,4,2,,,,,402,,,,9.0,,0
