name,age,nationality,club,position,height,weight,foot,total_matches,total_goals,total_minutes,total_assists,total_goals_conceded,total_cs,total_yellow,total_red,minutes_per_goal,shot_accuracy,pass_completion_rate,cross_completion_rate,minutes_per_assist,dribble_success_rate,tackles,interception,market_value,titles,injuries
Antonio Raimondo,20,Italy,Venezia,Forward - Centre Forward,185,,,87,24,5238,2,,,7,0,,100.0,65.0,0.0,,0.0,2,0,4.5,0,0
Armando Izzo,32,Italy,Monza,Defender - Centre Back,183,78,Right,367,15,29315,,377,112,89,7,,33.33,88.99,25.0,1048,80.0,19,18,2.5,0,7
Cristiano Biraghi,32,Italy,Fiorentina,Defender - Left Back,185,78,Left,474,20,37264,,537,125,96,2,62,40.0,91.04,23.33,,0.0,4,4,3.5,3,5
Daniel Maldini,23,Italy,Monza,Forward - Attacking Midfield,188,83,Right,80,9,2653,1,,,8,0,777,53.33,77.49,20.83,,44.44,11,2,6.0,0,1
Daniele Baselli,32,Italy,Como,Midfielder - Central Midfield,182,70,Right,354,24,21390,20,,,64,2,,,88.89,,,0.0,0,1,0.4,0,2
Daniele Ghilardi,21,Italy,Hellas Verona,Defender,,,,102,4,8444,,130,23,24,1,,66.67,85.88,,,100.0,5,4,1.6,0,0
Danilo Cataldi,30,Italy,Fiorentina,Midfielder - Defensive Midfield,180,70,Right,337,17,19415,18,,,85,4,283,75.0,89.01,60.0,,25.0,13,3,4.0,3,3
Davide Bartesaghi,18,Italy,AC Milan,Defender,,,,22,0,959,,10,8,3,1,,,,,,,,,,,0
Davide Bettella,24,Italy,Frosinone,Defender - Centre Back,185,78,Right,101,6,6865,,87,34,17,2,,0.0,83.82,,,0.0,2,3,0.5,2,1
Davide Calabria,27,Italy,AC Milan,Defender - Right Back,177,70,Right,280,9,20437,,243,92,51,5,,100.0,97.0,14.29,,0.0,4,3,10.0,3,9
Davide Faraoni,33,Italy,Hellas Verona,Defender - Right Back,180,71,Right,357,28,25645,,350,79,86,5,,0.0,66.67,25.0,,0.0,1,0,1.5,5,5
Davide Frattesi,25,Italy,Inter Milan,Midfielder - Central Midfield,178,74,Right,282,42,18571,19,,,28,0,182,30.0,87.27,0.0,546,80.0,7,2,35.0,4,4
Davide Zappacosta,32,Italy,Atalanta,Defender - Right Back,185,70,Right,396,24,27733,,338,116,49,0,65,45.45,87.63,37.93,710,0.0,6,2,6.0,3,7
Destiny Udogie,21,Italy,Tottenham Hotspur,Defender - Left Back,188,67,Left,138,11,10318,,136,33,24,2,,50.0,88.84,18.75,1009,43.75,29,13,45.0,0,15
Diego Coppola,20,Italy,Hellas Verona,Defender,,,,79,2,5714,,93,16,20,0,,0.0,82.99,,,0.0,17,20,7.5,0,2
Edoardo Bove,22,Italy,Fiorentina,Midfielder - Central Midfield,171,61,,107,5,5122,5,,,12,0,841,40.0,85.57,0.0,421,53.85,19,5,14.0,0,2
Edoardo Goldaniga,31,Italy,Como,Defender - Centre Back,193,87,Both,280,15,22649,,334,72,84,4,,,86.51,25.0,,100.0,6,7,1.2,0,0
Elia Caprile,23,Italy,Napoli,Goalkeeper - Goalkeeper,191,74,,117,0,10494,,112,38,7,0,,,81.82,,,0.0,0,0,6.0,2,0
Emanuele Valeri,25,Italy,Parma,Defender - Left Back,180,78,Left,158,10,11688,,161,36,28,1,77,50.0,73.08,17.86,387,18.18,13,9,2.3,0,2
Emerson Palmieri,30,Italy,West Ham United,Defender - Left Back,176,63,Left,311,11,22058,,294,98,40,2,,40.0,83.48,34.62,933,28.57,26,10,12.0,10,16
Emil Audero,27,Italy,Como,Goalkeeper - Goalkeeper,190,83,Right,236,0,21105,,315,55,9,0,,,78.11,,,0.0,0,0,5.0,8,0
Enrico Del Prato,25,Italy,Parma,Midfielder - Right Back,183,76,Right,201,10,16780,7,,,29,0,501,66.67,86.97,25.0,,0.0,6,7,4.5,0,2
Fabiano Parisi,24,Italy,Fiorentina,Defender,178,72,Left,152,9,10950,,129,44,30,2,0,100.0,81.43,0.0,,75.0,6,1,7.5,1,1
Fabio Chiarodia,19,Italy,Borussia M'gladbach,Defender - Centre Back,186,,,41,0,2107,,34,10,0,0,,,88.89,,,0.0,1,0,2.0,0,0
Fabio Miretti,21,Italy,Genoa,Midfielder,173,58,,119,12,6391,6,,,13,0,403,,74.68,44.44,,45.45,10,1,15.0,1,4
Federico Accornero,20,Italy,Genoa,Forward,,,,2,0,12,0,,,0,0,,,,,,,,,,,0
Federico Barba,31,Italy,Como,Defender - Centre Back,185,77,Left,308,12,25231,,333,86,57,4,,,89.26,0.0,,0.0,1,3,1.2,0,2
Federico Baschirotto,28,Italy,Lecce,Defender - Centre Back,184,,Right,211,12,16709,,222,56,28,2,,50.0,89.53,,,0.0,14,11,6.0,0,0
Federico Cassa,18,Italy,Atalanta,Midfielder,,,,2,0,12,0,,,0,0,,,,,,,,,,,0
Federico Chiesa,27,Italy,Liverpool,Forward - Left Wing,175,70,Right,327,74,22362,44,,,42,3,,50.0,87.5,,,0.0,0,0,30.0,4,7
Federico Dimarco,27,Italy,Inter Milan,Defender - Left Back,174,75,Left,273,24,16772,,196,91,24,0,87,50.0,85.22,30.69,481,50.0,9,6,50.0,6,6
Federico Gatti,26,Italy,Juventus,Defender - Centre Back,190,,,149,12,12450,,107,67,35,1,,40.0,95.56,,,100.0,9,7,25.0,1,2
Federico Ravaglia,25,Italy,Bologna,Goalkeeper - Goalkeeper,196,88,Right,73,0,6520,,74,24,3,0,,,80.67,,,0.0,0,0,1.0,0,0
Filippo Melegoni,25,Italy,Genoa,Midfielder - Central Midfield,186,74,Right,132,5,5537,4,,,14,0,,,63.64,0.0,88,50.0,1,0,1.0,0,0
Filippo Terracciano,21,Italy,AC Milan,Midfielder - Central Midfield,,,,84,0,4893,2,,,9,0,,,92.41,33.33,,0.0,6,2,4.5,0,0
Francesco Camarda,16,Italy,AC Milan,Forward,,,Both,17,5,894,1,,,6,1,,,,,,,,,,,0
Gabriele Zappa,24,Italy,Cagliari,Defender - Right Back,180,78,Right,199,11,14165,,218,36,23,1,49,100.0,82.46,17.65,,37.5,14,7,2.5,2,0
Gaetano Oristanio,22,Italy,Venezia,Forward,178,73,,112,15,6658,9,,,10,1,922,46.15,79.1,30.77,461,55.32,7,5,4.0,1,6
Giangiacomo Magnani,29,Italy,Hellas Verona,Defender - Centre Back,190,85,Left,214,4,13601,,202,49,45,3,30,20.0,80.41,0.0,,0.0,15,10,3.0,0,4
Gianluca Caprari,31,Italy,Monza,Forward - Secondary Striker,176,72,Right,386,75,23100,24,,,51,4,,0.0,87.77,36.0,382,40.0,8,2,4.0,1,2
Gianluca Gaetano,24,Italy,Cagliari,Midfielder - Attacking Midfield,175,74,,154,33,7922,16,,,18,1,,12.5,70.53,20.0,435,37.5,5,2,6.0,0,3
Gianluca Mancini,28,Italy,Roma,Defender - Centre Back,190,77,Right,332,25,27370,,325,104,106,6,,28.57,87.59,27.78,,0.0,14,12,25.0,1,6
Gianluigi Donnarumma,25,Italy,PSG,Goalkeeper - Goalkeeper,196,90,Right,435,0,38601,,404,150,37,1,,,85.8,,,0.0,1,0,40.0,8,7
Giorgio Altare,26,Italy,Venezia,Defender - Centre Back,188,75,,144,9,10822,,130,45,27,2,,33.33,80.45,50.0,,50.0,6,8,2.0,0,2
Giovanni Di Lorenzo,31,Italy,Napoli,Defender - Right Back,182,83,,501,32,43575,,523,155,82,1,154,66.67,82.37,17.65,,33.33,26,12,15.0,4,3
Giovanni Fabbian,21,Italy,Bologna,Midfielder,,,,125,24,8052,4,,,25,1,383,42.86,76.92,0.0,,0.0,6,1,14.0,0,0
Giuseppe Pezzella,26,Italy,Empoli,Defender - Left Back,185,81,Left,177,1,10490,,182,36,30,2,,33.33,66.85,16.07,911,47.06,20,4,2.2,0,2
Guglielmo Vicario,28,Italy,Tottenham Hotspur,Goalkeeper - Goalkeeper,194,83,Right,217,1,19450,,276,47,15,1,,,91.1,,,100.0,0,1,35.0,1,0
Hans Nicolussi,24,Italy,Venezia,Midfielder - Central Midfield,180,71,Right,109,10,6694,9,,,10,1,359,50.0,81.85,20.0,718,45.45,12,4,3.0,2,2
Issa Doumbia,21,Italy,Venezia,Midfielder,187,,,6,0,141,0,,,0,0,,,,,,,,,0.5,,0
Ivan Provedel,30,Italy,Lazio,Goalkeeper - Goalkeeper,192,82,Right,334,2,29876,,396,95,13,3,,,74.37,,,0.0,0,0,14.0,1,2
Jacopo Fazzini,21,Italy,Empoli,Midfielder - Central Midfield,,,,95,5,5207,1,,,14,0,,66.67,80.49,18.18,,66.67,16,2,6.0,0,8
Jeff Ekhator Osayuki,18,Italy,Genoa,Forward,,,Right,10,1,354,1,,,1,0,354,,,,354,,,,,,0
Jorginho,32,Italy,Arsenal,Midfielder - Defensive Midfield,178,65,Both,575,53,43248,30,,,96,2,,0.0,86.11,,,0.0,2,0,12.0,7,9
Kevin Maussi Martins,19,Italy,Monza,Midfielder,,,,3,0,91,0,,,0,0,,,88.57,50.0,,100.0,1,2,,0,0
Kevin Zeroli,19,Italy,Milan II,Midfielder,,,,23,6,1894,1,,,3,0,120,,,,,,,,,0,0
Leonardo Spinazzola,31,Italy,Napoli,Defender - Left Back,186,75,Right,335,10,21569,,250,121,26,0,,,83.65,33.33,247,42.86,3,0,4.0,5,8
Lorenzo Anghele,19,Italy,Juventus II,Forward,,,,34,9,1555,0,,,6,0,,,,,,,,,,0,0
Lorenzo Colombo,22,Italy,Empoli,Forward - Centre Forward,186,74,Left,137,21,6625,4,,,18,1,419,23.53,66.67,25.0,838,52.94,8,1,6.0,0,1
Lorenzo Lucca,24,Italy,Udinese,Forward - Centre Forward,,,,149,43,8633,12,,,27,3,198,42.86,67.52,0.0,,62.5,7,2,18.0,0,3
Lorenzo Montipo,28,Italy,Hellas Verona,Goalkeeper - Goalkeeper,191,82,Right,307,0,27630,,394,75,15,0,,,41.87,,,0.0,0,0,3.5,1,0
Lorenzo Pellegrini,28,Italy,Roma,Midfielder - Attacking Midfield,186,77,Right,393,69,27323,63,,,81,6,,31.25,83.45,35.71,819,38.46,9,0,22.0,2,6
Luca Caldirola,33,Italy,Monza,Defender - Centre Back,186,79,Left,314,13,25748,,388,95,78,8,,0.0,88.24,0.0,,0.0,2,2,1.3,1,4
Luca Mazzitelli,29,Italy,Como,Midfielder - Defensive Midfield,184,76,Right,274,25,18863,20,,,95,5,286,50.0,84.93,0.0,286,80.0,9,2,4.0,0,3
Luca Pellegrini,25,Italy,Lazio,Defender - Left Back,178,72,Left,152,1,8862,,118,38,50,3,,100.0,81.03,40.0,257,100.0,4,1,3.5,3,11
Luca Ranieri,31,Italy,Fiorentina,Defender - Centre Back,187,74,,191,7,15093,,183,53,54,2,,0.0,90.09,0.0,508,37.5,9,6,8.0,0,6
Manuel Lazzari,30,Italy,Lazio,Midfielder - Right Back,174,67,Right,378,10,28920,28,,,72,5,,0.0,89.88,22.64,676,55.56,8,1,4.0,2,5
Manuel Locatelli,26,Italy,Juventus,Midfielder - Defensive Midfield,185,75,Right,340,17,23928,27,,,80,1,,50.0,91.74,25.0,,66.67,23,5,28.0,3,4
Marco Brescianini,24,Italy,Atalanta,Midfielder - Central Midfield,188,63,Left,132,11,8027,6,,,12,0,215,75.0,83.06,14.29,,55.56,3,0,8.0,0,2
Marco Carnesecchi,24,Italy,Atalanta,Goalkeeper - Goalkeeper,191,83,Right,191,0,17113,,218,58,5,1,,,68.77,,,0.0,0,0,16.0,1,0
Marco Sala,25,Italy,Como,Defender - Left Back,182,72,Left,216,2,14677,,172,64,24,1,,,75.93,20.0,,0.0,9,1,1.1,2,0
Mario Balotelli,34,Italy,Genoa,Forward - Striker,189,88,Right,445,179,27850,27,,,163,14,,,33.33,0.0,,0.0,0,0,0.5,10,40
Matias Soule,21,Italy,Roma,Midfielder - Right Wing,176,,,105,18,6773,6,,,9,0,526,55.56,85.82,28.0,,38.71,4,3,25.0,0,1
Matteo Darmian,34,Italy,Inter Milan,Defender - Right Back,182,70,Right,522,21,37699,,411,196,69,2,111,16.67,83.39,22.22,333,50.0,16,2,4.0,14,9
Matteo Gabbia,25,Italy,AC Milan,Midfielder - Centre Back,185,78,,142,6,10349,1,,,32,0,360,20.0,88.28,0.0,,0.0,2,2,12.0,0,9
Matteo Pessina,27,Italy,Monza,Midfielder - Central Midfield,187,77,,331,44,23820,13,,,36,2,,0.0,87.71,16.67,,62.5,15,11,15.0,1,2
Matteo Politano,31,Italy,Napoli,Forward - Right Wing,171,67,Left,500,83,30557,44,,,51,3,901,33.33,77.0,24.62,,38.89,8,4,13.0,2,5
Matteo Prati,20,Italy,Cagliari,Midfielder - Defensive Midfield,,,,59,5,4293,2,,,11,0,,,78.79,33.33,,0.0,5,2,10.0,0,1
Mattia Bani,30,Italy,Genoa,Defender - Centre Back,188,80,Right,315,11,25731,,346,78,94,9,,100.0,88.0,,,100.0,2,8,2.5,0,8
Mattia De Sciglio,32,Italy,Empoli,Defender - Right Back,183,74,Right,312,2,22440,,243,105,42,4,,100.0,79.63,50.0,,33.33,3,2,1.0,8,7
Mattia Felici,23,Italy,Cagliari,Midfielder,180,74,,83,10,4831,5,,,13,2,,,75.0,50.0,,60.0,0,4,1.5,0,0
Mattia Perin,32,Italy,Juventus,Goalkeeper - Goalkeeper,188,74,Right,315,0,27671,,388,93,19,4,,,75.56,,,0.0,0,0,3.0,3,1
Mattia Valoti,31,Italy,Monza,Midfielder - Central Midfield,187,62,Right,284,57,16048,16,,,67,3,,,66.67,,,0.0,2,0,1.5,0,0
Mattia Viti,22,Italy,Empoli,Defender - Center Back,190,76,,59,2,4368,,66,12,3,1,,,,,,,,,5.0,,0
Michael Folorunsho,26,Italy,Napoli,Midfielder - Central Midfield,185,75,Right,202,31,14436,6,,,42,4,,,66.67,,,0.0,2,0,8.5,0,6
Michael Kayode,20,Italy,Fiorentina,Defender,,,,30,1,2096,,18,9,2,0,,,,,,,,,22.0,,0
Michele Di Gregorio,27,Italy,Juventus,Goalkeeper - Goalkeeper,187,79,Right,257,0,22947,,253,93,4,1,,,81.68,,,0.0,0,0,18.0,0,3
Nadir Zortea,25,Italy,Cagliari,Defender - Right Back,175,65,,135,7,7995,,115,31,18,0,36,60.0,76.36,21.21,,50.0,11,4,3.0,0,2
Niccolo Pisilli,,Italy,Roma U19,Midfielder,,,,28,2,1574,1,,,1,0,531,,,,,,,,,0,0
Nicholas Pierini,26,Italy,Sassuolo,Forward - Left Wing,176,70,Right,186,33,9162,10,,,5,0,,,82.35,33.33,,0.0,0,0,1.7,0,0
Nicola Leali,31,Italy,Genoa,Goalkeeper - Goalkeeper,195,80,Right,377,0,33696,,465,87,28,2,,,68.79,,,0.0,0,0,0.6,2,0
Nicolas Viola,35,Italy,Cagliari,Midfielder - Central Midfield,180,76,Left,391,53,26951,29,,,59,3,404,50.0,71.43,31.43,,33.33,5,2,0.8,1,2
Nicolo Barella,27,Italy,Inter Milan,Midfielder - Central Midfield,175,68,Right,426,39,33203,56,,,109,6,745,33.33,86.22,20.0,373,66.67,14,4,80.0,4,7
Nicolo Cambiaghi,23,Italy,Bologna,Forward - Left Wing,173,,Right,132,16,7903,7,,,15,2,,,80.0,0.0,,0.0,1,0,7.0,1,2
Nicolo Casale,26,Italy,Bologna,Defender - Centre Back,191,84,Right,203,2,15544,,198,65,34,0,,100.0,88.24,,,0.0,8,4,8.0,1,7
Nicolo Fagioli,23,Italy,Juventus,Midfielder - Attacking Midfield,178,73,,145,10,8999,14,,,22,2,,25.0,90.88,9.09,,66.67,6,1,20.0,6,3
Nicolo Savona,21,Italy,Juventus,Defender,,,Right,91,4,6925,,67,27,9,0,0,80.0,93.84,33.33,,66.67,14,5,7.0,0,1
Nicolo Zaniolo,25,Italy,Atalanta,Midfielder - Attacking Midfield,190,79,Left,217,35,11692,18,,,67,4,,0.0,87.5,0.0,146,50.0,0,0,20.0,5,10
Nunzio Lella,24,Italy,Bari 1908,Midfielder - Central Midfield,188,74,Right,130,8,7878,1,,,21,2,,,100.0,,,0.0,0,0,0.75,0,0
Patrick Cutrone,26,Italy,Como,Forward - Centre Forward,183,75,Right,291,75,15564,15,,,19,0,258,66.67,80.56,7.14,,75.0,7,1,7.0,1,0
Patrizio Masini,23,Italy,Genoa,Midfielder - Central Midfield,,,,108,12,8290,0,,,19,0,,0.0,54.55,0.0,,0.0,2,0,0.4,0,0
Pierluigi Gollini,29,Italy,Genoa,Goalkeeper - Goalkeeper,188,80,Right,206,0,18202,,223,56,10,1,,,80.79,,,0.0,0,0,4.0,2,3
Pietro Comuzzo,19,Italy,Fiorentina,Midfielder,,,,10,0,686,0,,,3,1,,,,,,,,,,0,1
Pietro Pellegri,23,Italy,Empoli,Forward - Striker,196,78,Right,107,15,3000,1,,,19,1,109,100.0,70.73,0.0,,55.56,4,0,3.0,0,12
Raoul Bellanova,24,Italy,Atalanta,Defender - Right Back,188,82,,165,3,11528,,152,53,16,1,,20.0,85.77,15.0,257,42.86,8,7,20.0,2,4
Riccardo Calafiori,22,Italy,Arsenal,Defender - Left Back,183,78,,109,5,7447,,97,36,27,2,76,100.0,85.71,20.0,,85.71,11,4,45.0,0,7
Riccardo Orsolini,27,Italy,Bologna,Forward - Right Wing,183,73,Left,298,69,18061,31,,,23,2,157,62.5,72.07,17.39,,42.42,4,4,16.0,0,1
Riccardo Sottil,25,Italy,Fiorentina,Forward - Left Wing,180,70,Right,176,20,8472,19,,,18,1,,42.86,83.84,25.0,379,50.0,0,3,6.0,0,3
Roberto Gagliardini,30,Italy,Monza,Midfielder - Central Midfield,190,77,Right,308,21,18118,12,,,56,2,,,94.34,0.0,,0.0,1,1,3.0,5,4
Rolando Mandragora,27,Italy,Fiorentina,Midfielder - Defensive Midfield,183,76,Left,301,21,20789,17,,,68,3,,60.0,81.13,50.0,,0.0,2,5,8.5,2,4
Samuele Birindelli,25,Italy,Monza,Defender - Right Back,175,68,Right,257,7,16527,,197,86,51,1,,100.0,84.38,15.38,,0.0,5,0,3.5,0,6
Samuele Ricci,23,Italy,Torino,Midfielder - Defensive Midfield,174,59,Right,199,6,13253,9,,,33,2,,28.57,89.68,20.0,,44.44,12,8,28.0,1,7
Sandro Tonali,24,Italy,Newcastle United,Midfielder - Defensive Midfield,181,80,,270,15,19775,32,,,64,2,,100.0,81.63,8.33,444,28.57,11,10,38.0,2,4
Sebastiano Esposito,22,Italy,Empoli,Forward - Centre Forward,188,75,,159,30,8228,20,,,19,1,281,66.67,64.74,14.29,,52.94,15,5,5.0,0,1
Sebastiano Luperto,28,Italy,Cagliari,Defender - Centre Back,191,75,Left,235,5,18777,,287,55,32,4,,25.0,84.66,0.0,390,33.33,15,9,3.5,4,0
Simone Perilli,29,Italy,Hellas Verona,Goalkeeper - Goalkeeper,,,,144,0,12876,,164,47,4,0,,,33.33,,,0.0,0,0,0.2,1,0
Simone Scuffet,28,Italy,Cagliari,Goalkeeper - Goalkeeper,193,75,Right,247,0,22049,,322,57,11,0,,,69.42,,,0.0,0,0,2.5,0,1
Stefano Sabelli,31,Italy,Genoa,Defender - Right Back,176,70,Right,386,6,30988,,353,120,98,5,,0.0,58.23,16.13,675,0.0,17,4,1.5,2,3
Stefano Turati,23,Italy,Monza,Goalkeeper - Goalkeeper,188,79,Right,104,0,9249,,121,35,2,0,,,67.7,,,0.0,0,0,7.0,0,3
Stephan El Shaarawy,32,Italy,Roma,Forward - Assistant Coach,178,72,Right,477,109,27454,48,,,28,0,190,57.14,78.62,25.0,380,33.33,7,4,5.0,3,2
Tommaso Baldanzi,21,Italy,Roma,Midfielder,180,65,,111,16,6390,4,,,7,0,336,100.0,83.89,25.0,336,46.15,6,4,15.0,1,5
Tommaso Pobega,25,Italy,Bologna,Midfielder - Central Midfield,188,79,,174,24,10471,6,,,42,2,,0.0,82.81,,,0.0,5,3,10.0,1,4
Vincenzo Grifo,31,Italy,Freiburg,Forward - Left Wing,180,72,Right,396,107,28748,88,,,23,2,285,64.71,84.42,30.0,171,57.14,6,0,9.0,1,3
Wladimiro Falcone,29,Italy,Lecce,Goalkeeper - Goalkeeper,195,85,Right,243,0,21727,,281,65,14,0,,,57.41,,,0.0,0,0,5.0,0,1
Youssef Maleh,26,Italy,Empoli,Midfielder - Central Midfield,177,70,,202,11,12841,14,,,53,1,,50.0,72.59,14.29,,0.0,6,6,4.5,0,10
Abakar Sylla,21,Ivory Coast,Strasbourg,Defender,183,,,66,5,4877,,78,15,19,2,38,100.0,87.89,,,50.0,17,6,12.0,0,3
Abdoul Konu00e9,,Ivory Coast,Reims,Defender,192,,Right,5,0,306,,2,2,1,0,,,,,,,,,,,0
Abdoulaye Bamba,34,Ivory Coast,Angers SCO,Defender - Right Back,182,72,Right,300,3,24166,,316,95,51,2,,,81.43,100.0,,0.0,5,5,0.4,0,15
Aboubacar Bassinga,19,Ivory Coast,Mirandés,Midfielder,,,,4,0,141,0,,,1,0,,,,,,,,,0.1,,0
Alidu Seidu,24,Ivory Coast,Rennes,Defender - Centre Back,173,68,,134,1,9152,,123,36,42,5,,0.0,86.15,0.0,,75.0,20,13,9.0,0,28
Amad Diallo Traore,22,Ivory Coast,Manchester United,Forward - Right Wing,173,,,116,31,6639,17,,,14,1,571,57.14,83.55,41.67,190,40.0,16,3,,4,10
Bamo Meite,23,Ivory Coast,Olympique Marseille,Midfielder,183,75,,50,1,3027,0,,,7,0,,,,,,,,,7.0,,0
Christian Kouame,26,Ivory Coast,Fiorentina,Forward - Centre Forward,185,70,,324,50,19038,38,,,41,1,,20.0,72.48,40.0,493,25.0,10,1,7.5,0,2
Drissa Camara,22,Ivory Coast,Parma,Midfielder - Central Midfield,,,,56,7,1528,1,,,14,1,,0.0,70.0,,,100.0,1,0,1.2,0,0
Emmanuel Agbadou,27,Ivory Coast,Reims,Defender - Centre Back,192,,Right,151,10,12387,,180,37,28,6,,37.5,88.87,,,70.0,22,9,9.0,0,12
Eric Bailly,30,Ivory Coast,Villarreal,Defender - Centre Back,187,77,Right,263,4,19342,,226,92,66,7,,0.0,89.27,,,100.0,9,6,3.0,4,44
Hamed Traore,24,Ivory Coast,Auxerre,Midfielder - Attacking Midfield,177,68,,197,28,10877,11,,,23,0,148,57.14,78.39,18.18,741,37.14,12,2,15.0,1,6
Ibrahim Sangare,26,Ivory Coast,Nottingham Forest,Midfielder - Defensive Midfield,191,77,Right,271,23,21779,18,,,62,2,,100.0,76.79,,,0.0,15,3,30.0,2,21
Ismael Konate,18,Ivory Coast,Empoli,Midfielder,,,,19,5,1221,0,,,2,0,,,76.47,,,0.0,0,0,,0,0
Ismael Kone,22,Ivory Coast,Olympique Marseille,Midfielder - Central Midfield,188,76,,118,10,7173,8,,,17,1,,100.0,85.93,33.33,,20.0,5,3,,1,2
Jean Philippe Gbamin,29,Ivory Coast,Nantes,Midfielder - Defensive Midfield,186,83,Right,265,9,19748,9,,,37,6,,,79.38,,,50.0,2,0,2.5,1,11
Jeremie Boga,27,Ivory Coast,Nice,Midfielder - Left Wing,172,68,Right,312,42,17823,24,,,2,0,,90.0,83.54,46.15,,43.24,6,2,15.0,4,5
Kassoum Ouattara,20,Ivory Coast,Monaco,Defender,,,,64,2,4050,,51,18,9,0,,50.0,85.71,25.0,173,42.86,6,3,8.0,0,0
Kossonou Odilon,23,Ivory Coast,Atalanta,Defender - Centre Back,191,72,,189,2,13144,,152,68,28,3,,75.0,88.68,,,0.0,5,4,30.0,3,4
Maxwel Cornet,28,Ivory Coast,Southampton,Forward - Right Wing,179,69,Right,349,66,17948,31,,,29,2,,,89.47,0.0,,0.0,5,0,9.0,3,33
Nicolas Pepe,29,Ivory Coast,Villarreal,Forward - Right Wing,183,68,Left,346,93,21717,42,,,22,1,565,52.63,83.83,11.11,283,54.55,4,3,9.0,2,10
Simon Adingra,22,Ivory Coast,Brighton & Hove Albion,Forward - Left Wing,175,68,Left,160,42,9492,23,,,15,1,228,33.33,77.14,10.0,228,12.5,6,3,30.0,0,3
Tolikpaley Luc Evrad Zogbe,19,Ivory Coast,Brest,Defender,,,,14,0,804,,9,3,0,0,,0.0,85.57,0.0,,25.0,9,2,,0,1
Wilfried Zaha,32,Ivory Coast,Olympique Lyonnais,Forward - Left Wing,180,66,Right,537,102,40600,50,,,85,4,,100.0,83.87,,,50.0,1,0,10.0,2,37
Willy Boly,33,Ivory Coast,Nottingham Forest,Defender - Centre Back,195,81,Right,363,19,30894,,341,126,55,8,,100.0,78.85,,,0.0,4,1,2.5,3,21
Bobby Reid,31,Jamaica,Leicester City,Forward - Attacking Midfield,170,68,Right,445,72,28563,37,,,48,0,,33.33,74.51,0.0,,0.0,2,0,5.0,1,6
Ethan Pinnock,31,Jamaica,Brentford,Defender - Center Back,194,79,Left,324,18,28145,,348,99,17,1,60,75.0,86.81,25.0,,37.5,23,14,10.0,0,10
Leon Bailey,27,Jamaica,Aston Villa,Forward - Left Wing,178,79,Left,374,78,23841,66,,,50,3,,20.0,75.16,21.43,294,37.5,2,1,42.0,1,27
Michail Antonio,34,Jamaica,West Ham United,Forward - Centre Forward,180,82,Right,561,133,39524,54,,,64,2,751,36.36,72.13,11.76,751,30.77,0,0,4.0,2,34
Ado Onaiwu,29,Japan,Auxerre,Forward - Centre Forward,180,74,,337,99,17888,12,,,9,1,179,70.0,75.36,50.0,,50.0,6,1,1.8,5,2
Anrie Chase,20,Japan,Stuttgart,Defender,,,,37,0,2584,,38,12,5,0,,,90.48,,,0.0,1,0,,0,0
Daichi Kamada,28,Japan,Crystal Palace,Midfielder - Attacking Midfield,180,72,Right,335,74,23232,41,,,26,1,,60.0,81.53,23.08,,33.33,19,7,18.0,2,12
Kaishu Sano,23,Japan,Mainz 05,Midfielder,176,67,Right,191,9,16123,2,,,15,1,,0.0,78.92,0.0,,50.0,18,17,2.5,0,0
Kaoru Mitoma,27,Japan,Brighton & Hove Albion,Forward - Left Wing,178,72,Right,187,56,11834,36,,,11,0,505,64.29,78.86,22.58,505,36.0,16,6,45.0,6,9
Keito Nakamura,24,Japan,Reims,Forward - Left Wing,176,63,,198,54,11228,11,,,10,1,156,50.0,75.86,28.57,934,43.48,12,5,10.0,0,2
Ko Itakura,27,Japan,Borussia M'gladbach,Defender - Centre Back,188,75,Right,219,17,17432,,229,63,38,3,76,40.0,89.39,50.0,,28.57,17,8,15.0,3,14
Ritsu Doan,26,Japan,Freiburg,Forward - Right Wing,172,70,Left,313,64,22125,27,,,21,1,231,62.5,73.1,10.0,922,45.95,16,5,18.0,5,10
Shuto Machino,25,Japan,Holstein Kiel,Forward - Striker,185,77,Right,189,49,12263,11,,,11,0,124,57.14,74.45,40.0,,50.0,2,3,3.5,2,0
Takehiro Tomiyasu,26,Japan,Arsenal,Defender - Right Back,188,70,Both,247,8,18571,,239,77,31,1,,0.0,75.0,,,0.0,0,0,35.0,3,21
Takumi Minamino,29,Japan,Monaco,Forward - Left Wing,172,68,Right,420,107,24508,49,,,32,2,761,50.0,68.83,0.0,761,30.77,5,4,20.0,15,6
Wataru Endo,31,Japan,Liverpool,Midfielder - Defensive Midfield,178,73,,432,41,35554,,444,126,53,1,,,94.12,,,100.0,2,0,13.0,6,5
Yukinari Sugawara,24,Japan,Southampton,Defender - Right Back,175,63,,251,16,18183,,247,69,24,0,49,50.0,85.04,14.71,684,42.86,17,3,12.0,0,6
Zion Suzuki,22,Japan,Parma,Goalkeeper - Goalkeeper,189,91,,87,0,7815,,97,25,2,1,,,62.75,,,0.0,1,0,7.0,0,2
Moussa Al Tamari,27,Jordan,Montpellier,Defender - Right Wing,175,70,,226,29,16745,,200,73,23,2,,66.67,85.71,0.0,,23.53,4,3,8.0,1,7
Amir Rrahmani,30,Kosovo,Napoli,Defender - Centre Back,192,83,,387,24,32983,,319,156,51,0,,0.0,92.6,,540,0.0,7,5,15.0,3,4
